Rank | Key Guess (Hex) | Correlation
--------------------------------------
  1 |    0xC9       | 0.222972
  2 |    0x9E       | 0.085374
  3 |    0x43       | 0.076479
  4 |    0x0E       | 0.066774
  5 |    0x72       | 0.065298
  6 |    0x46       | 0.065177
  7 |    0xBF       | 0.065161
  8 |    0x9C       | 0.063125
  9 |    0x66       | 0.060999
 10 |    0x64       | 0.060854
 11 |    0x63       | 0.058537
 12 |    0x99       | 0.058447
 13 |    0xBC       | 0.057501
 14 |    0xFC       | 0.057328
 15 |    0x33       | 0.056475
 16 |    0xBB       | 0.056019
 17 |    0xA9       | 0.056012
 18 |    0x03       | 0.055264
 19 |    0xD4       | 0.054635
 20 |    0x1E       | 0.052854
 21 |    0x73       | 0.052514
 22 |    0x1C       | 0.051668
 23 |    0x7C       | 0.051180
 24 |    0xFA       | 0.051022
 25 |    0x25       | 0.050367
 26 |    0x21       | 0.050216
 27 |    0x4F       | 0.050113
 28 |    0x8C       | 0.049564
 29 |    0x67       | 0.049344
 30 |    0xEE       | 0.048866
 31 |    0x26       | 0.048822
 32 |    0xA4       | 0.048714
 33 |    0x75       | 0.048306
 34 |    0xEC       | 0.047735
 35 |    0x71       | 0.047353
 36 |    0x9D       | 0.047214
 37 |    0xAE       | 0.047072
 38 |    0xE5       | 0.046856
 39 |    0xC8       | 0.046590
 40 |    0xE9       | 0.046534
 41 |    0x2C       | 0.046423
 42 |    0x77       | 0.046091
 43 |    0x38       | 0.045554
 44 |    0x27       | 0.045145
 45 |    0x19       | 0.045080
 46 |    0x44       | 0.044184
 47 |    0x8B       | 0.043966
 48 |    0xBA       | 0.043706
 49 |    0xDF       | 0.043183
 50 |    0x90       | 0.043104
 51 |    0x22       | 0.042988
 52 |    0x31       | 0.042635
 53 |    0xAC       | 0.041973
 54 |    0x83       | 0.041896
 55 |    0x97       | 0.041776
 56 |    0xCE       | 0.041653
 57 |    0x57       | 0.041631
 58 |    0x34       | 0.041379
 59 |    0x0F       | 0.041325
 60 |    0x42       | 0.041156
 61 |    0x61       | 0.041155
 62 |    0x24       | 0.041097
 63 |    0x98       | 0.040298
 64 |    0x3B       | 0.040032
 65 |    0x32       | 0.039919
 66 |    0xB3       | 0.039791
 67 |    0xE1       | 0.039778
 68 |    0xED       | 0.039379
 69 |    0x0D       | 0.039319
 70 |    0x3F       | 0.039306
 71 |    0xCC       | 0.039087
