Rank | Key Guess (Hex) | Correlation
--------------------------------------
  1 |    0x0C       | 0.203042
  2 |    0x67       | 0.078668
  3 |    0x23       | 0.070165
  4 |    0x9D       | 0.069084
  5 |    0x66       | 0.064382
  6 |    0x6B       | 0.062314
  7 |    0x7A       | 0.061624
  8 |    0xE4       | 0.054754
  9 |    0x42       | 0.054472
 10 |    0xEC       | 0.054423
 11 |    0x18       | 0.053002
 12 |    0x60       | 0.052916
 13 |    0x11       | 0.052566
 14 |    0x9E       | 0.051988
 15 |    0x8C       | 0.050214
 16 |    0xAB       | 0.048826
 17 |    0xB7       | 0.048625
 18 |    0xDE       | 0.047837
 19 |    0xB0       | 0.047754
 20 |    0xE3       | 0.047113
 21 |    0x84       | 0.046801
 22 |    0xC9       | 0.046288
 23 |    0xF9       | 0.046096
 24 |    0x73       | 0.045455
 25 |    0xE7       | 0.045383
 26 |    0x17       | 0.045236
 27 |    0x56       | 0.044827
 28 |    0x41       | 0.044783
 29 |    0xDD       | 0.044722
 30 |    0xA3       | 0.044578
 31 |    0x91       | 0.044342
 32 |    0xEB       | 0.044215
 33 |    0x57       | 0.044145
 34 |    0xF8       | 0.044069
 35 |    0x08       | 0.044066
 36 |    0x21       | 0.044023
 37 |    0x77       | 0.043971
 38 |    0x01       | 0.043850
 39 |    0x8F       | 0.043774
 40 |    0xCC       | 0.043337
 41 |    0xE0       | 0.043283
 42 |    0x09       | 0.043267
 43 |    0x1E       | 0.043149
 44 |    0xD8       | 0.043015
 45 |    0x46       | 0.043006
 46 |    0xAE       | 0.042792
 47 |    0xB8       | 0.042424
 48 |    0xE1       | 0.042268
 49 |    0xBA       | 0.041601
 50 |    0x53       | 0.041512
 51 |    0x76       | 0.041294
 52 |    0x8E       | 0.041125
 53 |    0xAF       | 0.040945
 54 |    0x16       | 0.040484
 55 |    0x15       | 0.039438
 56 |    0x62       | 0.039372
 57 |    0x31       | 0.039334
 58 |    0xAD       | 0.039180
 59 |    0x5C       | 0.039125
 60 |    0x3C       | 0.039057
 61 |    0xFF       | 0.038708
 62 |    0xFD       | 0.038569
 63 |    0x98       | 0.038369
 64 |    0x25       | 0.038233
 65 |    0x6F       | 0.038077
 66 |    0x5B       | 0.037955
 67 |    0xD7       | 0.037057
 68 |    0x43       | 0.036955
 69 |    0xC1       | 0.036936
 70 |    0xEF       | 0.036834
 71 |    0xD0       | 0.036813
 72 |    0xA2       | 0.036686
 73 |    0x54       | 0.036444
 74 |    0x22       | 0.036388
 75 |    0xBD       | 0.036356
 76 |    0xD3       | 0.035904
 77 |    0x45       | 0.035855
 78 |    0x9A       | 0.035750
 79 |    0x50       | 0.035659
 80 |    0xF3       | 0.035509
 81 |    0xBE       | 0.035427
 82 |    0x64       | 0.035389
 83 |    0x83       | 0.035337
 84 |    0x2D       | 0.035144
 85 |    0x2B       | 0.035023
 86 |    0x81       | 0.034981
