Rank | Key Guess (hex) | Score(RSS_over_POI)
---- | --------------- | -------------------
  1 | 0xcb           | 3.25280595e-01
  2 | 0x8d           | 2.99369400e-01
  3 | 0x11           | 2.73067801e-01
  4 | 0xb1           | 2.59940474e-01
  5 | 0xf2           | 2.38629890e-01
  6 | 0x84           | 2.19414144e-01
  7 | 0x57           | 2.16652845e-01
  8 | 0xdd           | 2.11721936e-01
  9 | 0xc8           | 2.09392461e-01
 10 | 0x6b           | 1.98526577e-01
 11 | 0x10           | 1.95238886e-01
 12 | 0xb3           | 1.94787916e-01
 13 | 0x13           | 1.92030087e-01
 14 | 0x91           | 1.87285642e-01
 15 | 0x90           | 1.80086979e-01
 16 | 0x69           | 1.77550548e-01
 17 | 0x94           | 1.76335430e-01
 18 | 0x6e           | 1.76104487e-01
 19 | 0xc1           | 1.72463292e-01
 20 | 0x37           | 1.69536453e-01
 21 | 0x12           | 1.69221910e-01
 22 | 0x92           | 1.67527673e-01
 23 | 0x0b           | 1.65315721e-01
 24 | 0x1d           | 1.62143807e-01
 25 | 0x5c           | 1.61374052e-01
 26 | 0x89           | 1.60630000e-01
 27 | 0x49           | 1.59004577e-01
 28 | 0x27           | 1.57468720e-01
 29 | 0x3b           | 1.56719165e-01
 30 | 0xf6           | 1.56519705e-01
 31 | 0x63           | 1.54790757e-01
 32 | 0xd6           | 1.52487025e-01
 33 | 0x4c           | 1.51710645e-01
 34 | 0xfd           | 1.48931783e-01
 35 | 0xcd           | 1.45996989e-01
 36 | 0x58           | 1.45498262e-01
 37 | 0x68           | 1.41353618e-01
 38 | 0x7c           | 1.40181439e-01
 39 | 0xba           | 1.40152470e-01
 40 | 0xcc           | 1.39734948e-01
 41 | 0xc5           | 1.39237945e-01
 42 | 0x32           | 1.37005311e-01
 43 | 0xa0           | 1.36702365e-01
 44 | 0x3c           | 1.35219080e-01
 45 | 0x5b           | 1.34692719e-01
 46 | 0xe2           | 1.34398577e-01
 47 | 0x5a           | 1.33725015e-01
 48 | 0xd2           | 1.32724918e-01
 49 | 0xa1           | 1.32043819e-01
 50 | 0xc7           | 1.28598365e-01
 51 | 0x0e           | 1.28589201e-01
 52 | 0xea           | 1.28537502e-01
 53 | 0xff           | 1.26970677e-01
 54 | 0x25           | 1.25685390e-01
 55 | 0xb4           | 1.24659788e-01
 56 | 0x9c           | 1.24606293e-01
 57 | 0x46           | 1.23706512e-01
 58 | 0x7d           | 1.22750548e-01
 59 | 0x16           | 1.22377630e-01
 60 | 0x87           | 1.22049815e-01
 61 | 0xaa           | 1.21018915e-01
 62 | 0x77           | 1.20389178e-01
 63 | 0x24           | 1.20193576e-01
 64 | 0xb6           | 1.19594393e-01
 65 | 0xef           | 1.19549000e-01
 66 | 0xe0           | 1.19495130e-01
 67 | 0x71           | 1.19054308e-01
 68 | 0x6a           | 1.17172593e-01
 69 | 0x80           | 1.17161926e-01
 70 | 0xdc           | 1.12926258e-01
 71 | 0x02           | 1.12432979e-01
 72 | 0xfa           | 1.11113069e-01
 73 | 0x0f           | 1.10336211e-01
 74 | 0x48           | 1.10270546e-01
 75 | 0x4a           | 1.09235573e-01
 76 | 0x83           | 1.08988594e-01
 77 | 0xc9           | 1.08272405e-01
 78 | 0x34           | 1.08127075e-01
 79 | 0x18           | 1.06589796e-01
 80 | 0xcf           | 1.05989565e-01
 81 | 0x08           | 1.05641898e-01
 82 | 0xbf           | 1.04513509e-01
 83 | 0x22           | 1.04503825e-01
 84 | 0x0d           | 1.04044830e-01
 85 | 0xeb           | 1.03840203e-01
 86 | 0xfe           | 1.03139862e-01
 87 | 0x86           | 1.01915375e-01
 88 | 0xdf           | 1.01397147e-01
 89 | 0x35           | 9.95623379e-02
 90 | 0xa4           | 9.90397445e-02
 91 | 0x8f           | 9.71134823e-02
 92 | 0x07           | 9.66471739e-02
 93 | 0x06           | 9.54149017e-02
 94 | 0x9d           | 9.50838142e-02
 95 | 0x33           | 9.35256835e-02
 96 | 0xd9           | 9.34104426e-02
 97 | 0x98           | 8.80963764e-02
 98 | 0xaf           | 8.77259663e-02
