Rank | Key Guess (hex) | Score(RSS_over_POI)
---- | --------------- | -------------------
  1 | 0xcc           | 2.85522255e-01
  2 | 0xbb           | 1.93663178e-01
  3 | 0x7c           | 1.85469371e-01
  4 | 0x5e           | 1.79588993e-01
  5 | 0x86           | 1.71952230e-01
  6 | 0x60           | 1.62324375e-01
  7 | 0xd0           | 1.52894070e-01
  8 | 0xba           | 1.49577982e-01
  9 | 0xf4           | 1.49551397e-01
 10 | 0xae           | 1.49175882e-01
 11 | 0xa5           | 1.41257774e-01
 12 | 0x21           | 1.40290315e-01
 13 | 0xd5           | 1.37830325e-01
 14 | 0x30           | 1.34517915e-01
 15 | 0x0f           | 1.33451394e-01
 16 | 0xdb           | 1.32578307e-01
 17 | 0x6d           | 1.29845315e-01
 18 | 0x32           | 1.28477532e-01
 19 | 0x6e           | 1.27347271e-01
 20 | 0xac           | 1.26191425e-01
 21 | 0x3b           | 1.22371648e-01
 22 | 0x3d           | 1.21470561e-01
 23 | 0x5c           | 1.20675294e-01
 24 | 0x96           | 1.20663755e-01
 25 | 0x75           | 1.19594264e-01
 26 | 0x61           | 1.19222453e-01
 27 | 0xdc           | 1.18217143e-01
 28 | 0x9c           | 1.18116187e-01
 29 | 0xf6           | 1.16881361e-01
 30 | 0x4c           | 1.16174914e-01
 31 | 0xf5           | 1.15744165e-01
 32 | 0x88           | 1.15401401e-01
 33 | 0xde           | 1.15356719e-01
 34 | 0xe2           | 1.14035082e-01
 35 | 0x67           | 1.12915848e-01
 36 | 0x82           | 1.11319518e-01
 37 | 0xf3           | 1.11129143e-01
 38 | 0xe8           | 1.10266755e-01
 39 | 0xfd           | 1.10204837e-01
 40 | 0x2a           | 1.09310336e-01
 41 | 0x41           | 1.08765782e-01
 42 | 0xff           | 1.08262170e-01
 43 | 0x79           | 1.07112850e-01
 44 | 0x2c           | 1.06713084e-01
 45 | 0xb4           | 1.06270726e-01
 46 | 0xf0           | 1.05525262e-01
 47 | 0x44           | 1.05308553e-01
 48 | 0xad           | 1.04936566e-01
 49 | 0x22           | 1.04435244e-01
 50 | 0x54           | 1.03676115e-01
 51 | 0x47           | 1.02656594e-01
 52 | 0x3e           | 1.02469103e-01
 53 | 0x1d           | 1.01686589e-01
 54 | 0x08           | 1.00165098e-01
 55 | 0x76           | 9.97093052e-02
 56 | 0xb9           | 9.90038517e-02
 57 | 0x70           | 9.84422873e-02
 58 | 0xd2           | 9.76219392e-02
 59 | 0x66           | 9.75052759e-02
 60 | 0xc3           | 9.74791836e-02
 61 | 0x90           | 9.73695947e-02
